Wall time,Step,Value
1720620036.208601,0,13.077081680297852
1720620703.594172,1,12.592574119567871
1720621239.45337,2,12.571640968322754
1720621750.35289,3,12.556435585021973
1720622266.690172,4,12.558369636535645
1720622794.885354,5,12.555025100708008
1720623313.759318,6,12.552234649658203
1720623852.682312,7,12.55108642578125
1720624381.243406,8,12.546243667602539
1720624923.098138,9,12.528024673461914
1720625472.455583,10,12.51052188873291
1720626012.021566,11,12.492395401000977
1720626558.407068,12,12.462610244750977
1720627096.296813,13,12.33298397064209
1720627644.453278,14,11.570287704467773
1720628175.505742,15,6.092344284057617
1720628700.311676,16,3.279996871948242
1720629256.990533,17,2.8096487522125244
1720629795.408129,18,2.6499321460723877
1720630321.517808,19,2.5540771484375
1720630863.986831,20,2.4239797592163086
1720631414.516853,21,2.3390471935272217
1720631958.597229,22,2.3064982891082764
1720632495.386361,23,2.2536556720733643
1720633036.483968,24,2.215794086456299
1720633569.683453,25,2.192892551422119
1720634111.414765,26,2.1936752796173096
1720634662.062323,27,2.1679153442382812
1720635196.588337,28,2.153303623199463
1720635722.726768,29,2.1822381019592285
1720636260.766561,30,2.180776357650757
1720636798.361277,31,2.134310007095337
1720637328.202754,32,2.1253769397735596
1720637862.844392,33,2.159874200820923
1720638406.432837,34,2.1160478591918945
1720638939.455135,35,2.1007347106933594
1720639462.577086,36,2.0859549045562744
1720639989.786479,37,2.011836290359497
1720640529.425623,38,2.0054008960723877
1720641063.007568,39,1.9978187084197998
1721656245.130721,0,44.3698616027832
1721656749.788256,1,44.15338897705078
1721657261.097525,2,44.12782669067383
1721657769.005396,3,44.08769226074219
1721658278.470226,4,44.04916000366211
1721658786.377499,5,44.000953674316406
1721659293.52809,6,43.946533203125
1721659798.822469,7,43.876678466796875
1721660302.861696,8,43.79048156738281
1721660814.703879,9,43.673316955566406
1721661325.671509,10,43.526100158691406
1721661830.841257,11,43.320716857910156
1721662336.798201,12,42.95803451538086
1721662838.005333,13,42.0806884765625
1721663336.920937,14,38.79439926147461
1721663845.097769,15,24.54862403869629
1721664349.322347,16,12.096610069274902
1721664846.244142,17,8.437338829040527
1721665330.073724,18,7.1581315994262695
1721665803.093741,19,6.3910746574401855
1721666269.766774,20,6.0999650955200195
1721666730.645521,21,5.954965591430664
1721667186.563705,22,5.647615432739258
1721667636.028559,23,5.5078043937683105
1721668088.795385,24,5.361443042755127
1721668539.838967,25,5.332780838012695
1721668990.373359,26,5.252468585968018
1721669442.771151,27,5.137452602386475
1721669891.570699,28,5.118907451629639
1721670343.930931,29,5.0207672119140625
1721670792.563905,30,4.97542667388916
1721671242.723443,31,4.941189289093018
1721671697.385054,32,4.888469696044922
1721672157.094263,33,4.879386901855469
1721672620.377739,34,4.8500776290893555
1721673075.989289,35,4.837357997894287
1721673527.460171,36,4.823269844055176
1721673974.262742,37,4.793702602386475
1721674423.902693,38,4.759880065917969
1721674872.450016,39,4.796061992645264
1721675321.202402,40,4.7775139808654785
1721675763.099176,41,4.753261089324951
1721676207.136579,42,4.530303001403809
1721676652.250883,43,4.505679607391357
1721677094.86226,44,4.491145610809326
1721677538.945186,45,4.488764762878418
1721677981.002041,46,4.490798473358154
1721678425.561325,47,4.490760326385498
1721678869.864468,48,4.484559535980225
1721679313.171021,49,4.486603260040283
