Wall time,Step,Value
1720620036.20707,0,315.4153137207031
1720620703.593106,1,262.3261413574219
1720621239.452348,2,223.83551025390625
1720621750.35184,3,92.56214141845703
1720622266.6891,4,68.34502410888672
1720622794.884254,5,63.85014343261719
1720623313.758276,6,60.627830505371094
1720623852.681296,7,59.29837417602539
1720624381.242383,8,57.66557693481445
1720624923.097091,9,56.506595611572266
1720625472.454507,10,56.6966667175293
1720626012.020493,11,53.9389762878418
1720626558.405978,12,54.48720169067383
1720627096.295779,13,53.845035552978516
1720627644.451727,14,53.44778823852539
1720628175.504695,15,53.23038864135742
1720628700.31051,16,52.02614212036133
1720629256.989411,17,51.39762496948242
1720629795.406972,18,50.90850830078125
1720630321.516749,19,50.361305236816406
1720630863.985809,20,49.538726806640625
1720631414.515791,21,49.15957260131836
1720631958.596173,22,48.885719299316406
1720632495.38535,23,48.367191314697266
1720633036.482932,24,47.986846923828125
1720633569.682384,25,47.426025390625
1720634111.413738,26,47.322723388671875
1720634662.060807,27,46.993133544921875
1720635196.587197,28,46.66280746459961
1720635722.725709,29,46.91712188720703
1720636260.765519,30,46.69294357299805
1720636798.360271,31,46.4732551574707
1720637328.20167,32,46.03681564331055
1720637862.843203,33,46.222164154052734
1720638406.431515,34,45.677215576171875
1720638939.454127,35,45.09925079345703
1720639462.575906,36,44.88395690917969
1720639989.785364,37,43.268985748291016
1720640529.424327,38,42.75358963012695
1720641063.006545,39,42.51701354980469
1721656245.129927,0,321.4376525878906
1721656749.787451,1,272.5788269042969
1721657261.096777,2,251.85804748535156
1721657769.004636,3,245.3114776611328
1721658278.469474,4,180.26710510253906
1721658786.376745,5,78.12140655517578
1721659293.527283,6,66.8944320678711
1721659798.82171,7,63.377052307128906
1721660302.860948,8,60.676448822021484
1721660814.703153,9,58.81092071533203
1721661325.67071,10,57.30552673339844
1721661830.840505,11,55.956146240234375
1721662336.797449,12,54.84620666503906
1721662838.004557,13,54.07353973388672
1721663336.920204,14,53.830589294433594
1721663845.097013,15,53.4959831237793
1721664349.321587,16,52.64726257324219
1721664846.24318,17,51.95849609375
1721665330.072964,18,51.288482666015625
1721665803.092931,19,50.52904510498047
1721666269.765992,20,50.181396484375
1721666730.644764,21,50.16587448120117
1721667186.562902,22,49.547027587890625
1721667636.027722,23,48.95486068725586
1721668088.794621,24,48.58989715576172
1721668539.838065,25,48.12094497680664
1721668990.372523,26,47.822200775146484
1721669442.770373,27,47.52580642700195
1721669891.569926,28,47.2448616027832
1721670343.930188,29,46.69428253173828
1721670792.563167,30,46.52825164794922
1721671242.722663,31,46.05662155151367
1721671697.38432,32,45.77734375
1721672157.093502,33,45.672664642333984
1721672620.376985,34,45.46415710449219
1721673075.988508,35,45.008907318115234
1721673527.459412,36,44.79750442504883
1721673974.261791,37,44.28483581542969
1721674423.90194,38,44.098575592041016
1721674872.449195,39,44.12297821044922
1721675321.201646,40,44.05903244018555
1721675763.098343,41,43.73082733154297
1721676207.135827,42,41.92622756958008
1721676652.250098,43,41.48981857299805
1721677094.861385,44,41.053287506103516
1721677538.944434,45,40.76872253417969
1721677981.001295,46,40.39898681640625
1721678425.560525,47,40.233924865722656
1721678869.863486,48,39.96189498901367
1721679313.170291,49,39.8050537109375
