Wall time,Step,Value
1720620036.207941,0,0.6509412527084351
1720620703.593665,1,1.0578054189682007
1720621239.452871,2,1.4721721410751343
1720621750.352356,3,1.9064503908157349
1720622266.689656,4,2.1649606227874756
1720622794.884843,5,2.203781843185425
1720623313.758821,6,2.256352663040161
1720623852.681821,7,2.290292263031006
1720624381.242908,8,2.2373440265655518
1720624923.097642,9,2.2214975357055664
1720625472.455041,10,2.190049409866333
1720626012.021032,11,2.1559629440307617
1720626558.406546,12,2.1573033332824707
1720627096.29628,13,2.117581844329834
1720627644.452533,14,2.107117176055908
1720628175.505224,15,2.0808277130126953
1720628700.311093,16,2.084188938140869
1720629256.989934,17,2.036546468734741
1720629795.407591,18,2.0193893909454346
1720630321.517279,19,1.992040753364563
1720630863.986319,20,1.9644699096679688
1720631414.516311,21,1.9593745470046997
1720631958.596724,22,1.9568285942077637
1720632495.385873,23,1.9344508647918701
1720633036.483471,24,1.9106309413909912
1720633569.68293,25,1.9031118154525757
1720634111.414234,26,1.8974941968917847
1720634662.06159,27,1.876297116279602
1720635196.587771,28,1.8703868389129639
1720635722.726233,29,1.8647209405899048
1720636260.766026,30,1.8622469902038574
1720636798.360786,31,1.841872215270996
1720637328.202225,32,1.8223696947097778
1720637862.843852,33,1.8207721710205078
1720638406.432227,34,1.7871094942092896
1720638939.454643,35,1.781010389328003
1720639462.576537,36,1.7699965238571167
1720639989.78593,37,1.7514317035675049
1720640529.425012,38,1.7367711067199707
1720641063.007046,39,1.729570984840393
1721656245.130313,0,0.6224660277366638
1721656749.787834,1,0.9619427919387817
1721657261.097164,2,1.465750813484192
1721657769.005007,3,1.8101576566696167
1721658278.469837,4,2.5280675888061523
1721658786.377138,5,2.974025249481201
1721659293.527667,6,2.9151463508605957
1721659798.822097,7,2.760762929916382
1721660302.861339,8,2.5396230220794678
1721660814.703516,9,2.357318878173828
1721661325.671121,10,2.22149658203125
1721661830.840873,11,2.129025936126709
1721662336.79782,12,2.060218095779419
1721662838.004947,13,1.9917535781860352
1721663336.920569,14,1.9902713298797607
1721663845.097401,15,1.959301471710205
1721664349.321961,16,1.9358768463134766
1721664846.243594,17,1.9206422567367554
1721665330.073359,18,1.9146686792373657
1721665803.09333,19,1.8919017314910889
1721666269.766407,20,1.8881357908248901
1721666730.645167,21,1.8842918872833252
1721667186.563328,22,1.8582842350006104
1721667636.028187,23,1.841728925704956
1721668088.795006,24,1.8397483825683594
1721668539.838599,25,1.8320192098617554
1721668990.372951,26,1.8198131322860718
1721669442.770759,27,1.8056012392044067
1721669891.570327,28,1.8006843328475952
1721670343.93057,29,1.793827772140503
1721670792.563537,30,1.7757182121276855
1721671242.723033,31,1.7717384099960327
1721671697.384698,32,1.7556402683258057
1721672157.09388,33,1.7470699548721313
1721672620.377365,34,1.7376149892807007
1721673075.988889,35,1.7296082973480225
1721673527.459789,36,1.7121832370758057
1721673974.262215,37,1.6969833374023438
1721674423.902329,38,1.6822744607925415
1721674872.449626,39,1.6651567220687866
1721675321.202025,40,1.6588557958602905
1721675763.098751,41,1.6327574253082275
1721676207.136227,42,1.6207125186920166
1721676652.250486,43,1.601668119430542
1721677094.86181,44,1.5938807725906372
1721677538.944789,45,1.576335072517395
1721677981.001677,46,1.5629936456680298
1721678425.560922,47,1.54296875
1721678869.863974,48,1.5321563482284546
1721679313.170652,49,1.5143482685089111
